Atomic Number,Name,Symbol,Atomic Mass,State,Group
1,Hydrogen,H,1.0079,3,8
2,Helium,He,4.0026,3,9
3,Lithium,Li,6.941,1,1
4,Beryllium,Be,9.0122,1,2
5,Boron,B,10.811,1,7
6,Carbon,C,12.0107,1,8
7,Nitrogen,N,14.0067,3,8
8,Oxygen,O,15.9994,3,8
9,Fluorine,F,18.9984,3,8
10,Neon,Ne,20.1797,3,9
11,Sodium,Na,22.9897,1,1
12,Magnesium,Mg,24.305,1,2
13,Aluminum,Al,26.9815,1,6
14,Silicon,Si,28.0855,1,7
15,Phosphorus,P,30.9738,1,8
16,Sulfur,S,32.065,1,8
17,Chlorine,Cl,35.453,3,8
18,Argon,Ar,39.948,3,9
19,Potassium,K,39.0983,1,1
20,Calcium,Ca,40.078,1,2
21,Scandium,Sc,44.9559,1,5
22,Titanium,Ti,47.867,1,5
23,Vanadium,V,50.9415,1,5
24,Chromium,Cr,51.9961,1,5
25,Manganese,Mn,54.938,1,5
26,Iron,Fe,55.845,1,5
27,Cobalt,Co,58.9332,1,5
28,Nickel,Ni,58.6934,1,5
29,Copper,Cu,63.546,1,5
30,Zinc,Zn,65.39,1,5
31,Gallium,Ga,69.723,1,6
32,Germanium,Ge,72.64,1,7
33,Arsenic,As,74.9216,1,7
34,Selenium,Se,78.96,1,8
35,Bromine,Br,79.904,2,8
36,Krypton,Kr,83.8,3,9
37,Rubidium,Rb,85.4678,1,1
38,Strontium,Sr,87.62,1,2
39,Yttrium,Y,88.9059,1,5
40,Zirconium,Zr,91.224,1,5
41,Niobium,Nb,92.9064,1,5
42,Molybdenum,Mo,95.94,1,5
43,Technetium,Tc,98,1,5
44,Ruthenium,Ru,101.07,1,5
45,Rhodium,Rh,102.9055,1,5
46,Palladium,Pd,106.42,1,5
47,Silver,Ag,107.8682,1,5
48,Cadmium,Cd,112.411,1,5
49,Indium,In,114.818,1,6
50,Tin,Sn,118.71,1,6
51,Antimony,Sb,121.76,1,7
52,Tellurium,Te,127.6,1,7
53,Iodine,In,126.9045,1,8
54,Xenon,Xe,131.293,3,9
55,Cesium,Cs,132.9055,1,1
56,Barium,Ba,137.327,1,2
57,Lanthanum,La,138.9055,1,3
58,Cerium,Ce,140.116,1,3
59,Praseodymium,Pr,140.9077,1,3
60,Neodymium,Nd,144.24,1,3
61,Promethium,Pm,145,1,3
62,Samarium,Sm,150.36,1,3
63,Europium,Eu,151.964,1,3
64,Gadolinium,Gd,157.25,1,3
65,Terbium,Tb,158.9253,1,3
66,Dysprosium,Dy,162.5,1,3
67,Holmium,Ho,164.9303,1,3
68,Erbium,Er,167.259,1,3
69,Thulium,Tm,168.9342,1,3
70,Ytterbium,Yb,173.04,1,3
71,Lutetium,Lu,174.967,1,3
72,Hafnium,Hf,178.49,1,5
73,Tantalum,Ta,180.9479,1,5
74,Tungsten,W,183.84,1,5
75,Rhenium,Re,186.207,1,5
76,Osmium,Os,190.23,1,5
77,Iridium,Ir,196.9665,1,5
78,Platinum,Pt,192.217,1,5
79,Gold,Au,195.078,1,5
80,Mercury,Hg,200.59,2,5
81,Thallium,Tl,204.3833,1,6
82,Lead,Pb,207.2,1,6
83,Bismuth,Bi,208.9804,1,6
84,Polonium,Po,209,1,6
85,Astatine,At,210,1,7
86,Radon,Rn,222,3,9
87,Francium,Fr,223,1,1
88,Radium,Ra,226,1,2
89,Actinium,Ac,227,1,4
90,Thorium,Th,232.0381,1,4
91,Protactinium,Pa,231.0359,1,4
92,Uranium,U,238.0289,1,4
93,Neptunium,Np,237,1,4
94,Plutonium,Pu,244,1,4
95,Americium,Am,243,1,4
96,Curium,Cm,247,1,4
97,Berkelium,Bk,247,1,4
98,Californium,Cf,251,1,4
99,Einsteinium,Es,252,1,4
100,Fermium,Fm,257,1,4
101,Mendelevium,Md,258,1,4
102,Nobelium,No,259,1,4
103,Lawrencium,Lr,262,1,4
104,Rutherfordium,Rf,261,1,5
105,Dubnium,Db,262,1,5
106,Seaborgium,Sg,266,1,5
107,Bohrium,Bh,264,1,5
108,Hassium,Hs,277,1,5
109,Meitnerium,Mt,268,4,10
110,Darmstadtium,Ds,261.9,4,10
111,Roentgenium,Rg,271.8,4,10
112,Copernicium,Cn,285,4,5
113,Nihonium,Nh,286,4,10
114,Flerovium,Fl,289,4,6
115,Moscovium,Mc,288,4,10
116,Livermorium,Lv,293,4,10
117,Tennessine,Ts,294,4,10
118,Oganesson,Og,294,4,10
